nome;morada;postal;localidade;lat;lng;codigo;
Escola Básica de Seide - São Miguel, Vila Nova de Famalicão;Rua Manuel Pinheiro Alves, n.º 376  ;4770 - 641 são miguel seide;Seide S. Miguel;41.399864;-8.460663;312547;
Escola Básica de Seidões, Fafe;Seidões  ;4820 - 000 fafe;Assento;41.409645;-8.1240635;307155;
Escola Básica de Seixo Alvo, Vila Nova de Gaia;R. da Escola Primária  ;4415 - 743 seixo alvo;Seixo Alvo;41.05932;-8.516959;1317507;
Escola Básica de Seixo de Manhoses, Vila Flor;Rua Principal  ;5360 - 189 seixo de manhoses;Seixo de Manhoses;41.267323;-7.180399;410277;
Escola Básica de Seixo, Gondomar;Rua dos Crisântemos  ;4510 - 647 fânzeres;Fânzeres;41.18158;-8.528207;1304481;
Escola Básica de Selho - São Cristovão, Guimarães;R. Muda  ;4810 - 000 creixomil - salgueiral;Selho (São Cristovão);41.422806;-8.349464;308548;
Escola Básica de Semelhe, Braga;Lg da Igreja - Semelhe  ;4700 - 456 braga;Braga;41.554386;-8.463379;303720;
Escola Básica de Sendim, Matosinhos;R. do Sarilho, 70  ;4450 - 274 matosinhos;Sendim-Matosinhos;41.191463;-8.66854;1308253;
Escola Básica de Sendim, Miranda do Douro;Avenida do Ciclo Preparatório  ;5225 - 101 sendim;Sendim;41.390575;-6.4264975;406761;
Escola Básica de Senhora de Oliveira, Viana do Castelo;Rua Augusto César Machado  ;4935 - 066 viana do castelo;Senhora da Oliveira;41.684616;-8.790788;1609346;
Escola Básica de Senhora do Monte, Vila Nova de Gaia;Rua Bela Vista, 717 - Senhora do Monte  ;4415 - 170 pedroso;PEDROSO;41.087383;-8.583734;1317813;
Escola Básica de Senhora, Penafiel;Senhora  ;4560 - 871 vila cova pnf;Vila Cova;41.173897;-8.236166;1311413;
Escola Básica de Senra, Felgueiras;Aião - Senra  ;4650 - 011 aião;Aião;41.3013;-8.202117;1303157;
Escola Básica de Sequeira, Braga;Rua da Escola  ;4700 - 885 carvalho;Carvalho;41.53219;-8.473316;303628;
Escola Básica de Sequeiró, Santo Tirso;Rua Gabriel Cardoso Fanzeres  ;4780 - 599 sequeiró;Sequeirô;41.36638;-8.457415;1314028;
Escola Básica de Serafão, Fafe;Rua das escolas nº 143  ;4820 - 770 serafão;Serafão;41.532875;-8.215734;307772;
Escola Básica de Serpente, Vila Nova de Gaia;R. Alto da Serpente  ;4430 - 576 vila nova de gaia;Serpente - Vilar de Andorinho;41.095592;-8.5953665;1317467;
Escola Básica de Serra da Vila, Casal, Arouca;Casal - Mansores  ;4540 - 422 mansores;Mansores;40.93049;-8.365663;104783;
Escola Básica de Serradelo, Castelo de Paiva;Rua de São Caetano  ;4550 - 623 raiva;Serradelo;41.023167;-8.3262205;106917;
Escola Básica de Serrinha, Marco de Canaveses;Serrinha  ;4575 - 049 alpendurada e matos;Alpendurada e Matos;41.096264;-8.242449;1307211;
Escola Básica de Serrinha, Rebordosa, Paredes;Rua Escola da Serrinha  ;4585 - 519 rebordosa;Rebordosa;41.209026;-8.425931;1310808;
Escola Básica de Serzedo, Guimarães;R. de S. Miguel, nº 491  ;4810 - 858 serzedo gmr;Outeiro - Serzedo;41.404133;-8.231435;308477;
Escola Básica de Sever, Moimenta da Beira;Estrada Municipal  ;3620 - 504 sever mbr;Sever;41.00279;-7.7039275;1807493;
Escola Básica de Silva, Barcelos;Rua da Igreja, 34  ;4750 - 690 silva bcl;Silva;41.5697;-8.630386;302635;
Escola Básica de Silvares - São Clemente, Cortinhas, Fafe;Cortinhas  ;4820 - 000 fafe;Silvares S. Clemente;41.425873;-8.161345;307047;
Escola Básica de Silvares, Guimarães;Rua da Ponte Nova  ;4835 - 434 guimarães;Silvares;41.442833;-8.33968;308657;
Escola Básica de Silvares, São Martinho, Fafe;Rua Dr. Parcídio Summavielle   ;4820 - 715 são martinho silvares;Fafe - Silvares (S.Martinho);41.406246;-8.163222;307811;
Escola Básica de Silveirinhos, Gondomar;Rua Escola de Silveirinhos  ;4510 - 268 são pedro da cova;Silveirinhos;41.166588;-8.512591;1304888;
Escola Básica de Silveiros, Barcelos;Souto de Igreja - Silveiros  ;4775 - 000 nine;Souto;41.473755;-8.570075;302726;
Escola Básica de Sininhos, Póvoa de Varzim;R. Manuel Silva, 23  ;4490 - 657 póvoa de varzim;Póvoa de Varzim;41.37974;-8.76161;1313566;
Escola Básica de Sobral, Santa Maria da Feira;Rua do Cedro  ;4535 - 000 lourosa;Sobral;40.99439;-8.570728;109136;
Escola Básica de Sobral, Vila Verde;Sobral - Cervães  ;4730 - 000 vila verde;Sobral - Cervães;41.595795;-8.522224;313458;
Escola Básica de Sobrecampos, Lamelas, Santo Tirso;R. da Escola  ;4825 - 245 lamelas;Lamelas;41.285114;-8.474665;1314286;
Escola Básica de Sobreira, Paredes;Estação  ;4585 - 681 sobreira;Sobreira;41.15146;-8.396953;1310115;
Escola Básica de Sobreposta, Braga;Lugar do Outeiro  ;4710 - 850 sobreposta;Sobreposta;41.552677;-8.33417;303039;
Escola Básica de Sobrosa, Paredes;Alameda 6 de Abril 173 ;4580 - 605 sobrosa;Sobrosa, Paredes;41.237232;-8.3565855;296715;
Escola Básica de Souselo, Cinfães;Rua de Santo André  ;4690 - 673 souselo;Souselo;41.06992;-8.227341;1804553;
Escola Básica de Soutelo, Fiães, Santa Maria da Feira;Rua Ulfilanis nº139  ;4505 - 310 fiães vfr;Fiães;40.980648;-8.520281;109583;
Escola Básica de Souto - Santa Maria, Guimarães;R. D. Elvira Cruz Gonçalves  ;4800 - 675 santa maria souto;Souto (Santa Maria);41.5123;-8.293307;308468;
Escola Básica de Souto Redondo, Santa Maria da Feira;Largo das Airas  ;4520 - 619 são joão de ver;Souto Redondo;40.95725;-8.518813;109484;
Escola Básica de Souto, Gondomar;Pç. da República  ;4420 - 294 gondomar;Gondomar;41.136955;-8.531123;1304308;
Escola Básica de Souto, Santa Maria da Feira;Rua das Camélias  ;4500 - 720 nogueira da regedoura;Souto;41.005684;-8.588371;109928;
Escola Básica de Sub-Ribas, Lousada;Meinedo  ;4620 - 345 meinedo;Sub-Ribas;41.25155;-8.2403145;1305859;
Escola Básica de Subportela, Cortegaça, Viana do Castelo;Lugar de Cortegaça  ;4905 - 631 subportela;Cortegaça;41.69012;-8.7246065;1609980;
Escola Básica de Susão, Valongo;Rua da Escola Nova  ;4440 - 552 valongo;Valongo;41.20294;-8.505551;1315782;
Escola Básica de Suçães, Mirandela;Bairro Escolar  ;5370 - 644 suçães;Suçães;41.49103;-7.2567377;407161;
Escola Básica de Sá, Arcozelo, Vila Nova de Gaia;Largo de Sá  ;4405 - 000 vila nova de gaia;Arcozelo;41.057686;-8.635842;1317761;
Escola Básica de Sá, Castelo de Paiva;Sá - Sardoura  ;4550 - 764 santa maria de sardoura;Sá;41.039215;-8.309747;106106;
Escola Básica de Sá, Sandim, Vila Nova de Gaia;R. das Escolas  ;4415 - 810 sandim;Sandim;41.01822;-8.504895;1317482;
Escola Básica de São Bento da Batalha, Santo Tirso;Rua Alexandre Herculano  ;4780 - 389 santo tirso;S. Bento da Batalha;41.35215;-8.487592;1314510;
Escola Básica de São Brás, Areal, Barcelos;Rua do Areal de Baixo  ;4755 - 051 barcelos;Areal;41.52184;-8.619346;302649;
Escola Básica de São Cipriano, Resende;Rua Irmãos Monteiro  ;4660 - 000 resende;S. Cipriano;41.066044;-7.9942994;1813817;
Escola Básica de São Cristovão, Cinfães;Roçadas  ;4690 - 000 cinfães;S. Cristóvão;41.066547;-8.13582;1804400;
Escola Básica de São Domingos, Santa Maria da Feira;Rua Professora Dª Clotilde  ;4505 - 136 argoncilhe;S. Domingos;41.020527;-8.549074;43987;
Escola Básica de São Gens, Fafe;Pica - São Gens  ;4820 - 654 são gens;Pica;41.446384;-8.133281;307694;
Escola Básica de São Jorge, Fafe;Rua da Guiné nº 20  ;4820 - 187 fafe;Fafe;41.44074;-8.178018;307863;
Escola Básica de São José, Refojos de Riba de Ave, Santo Tirso;Avenida da Igreja  ;4825 - 336 refojos de riba de ave;Refojos de Riba de Ave;41.289215;-8.455797;1314525;
Escola Básica de São João da Foz, Porto;R. Escultor Henrique Moreira  ;4150 - 397 porto;Porto;41.151836;-8.670318;1312501;
Escola Básica de São João da Madeira;R. Teixeira de Pascoais  ;3700 - 291 são joão da madeira;S. João da Madeira;40.896503;-8.496554;116386;
Escola Básica de São João da Pesqueira;Largo da Devesa  ;5130 - 000 são joão da pesqueira;S. João da Pesqueira;41.148853;-7.4088;1815925;
Escola Básica de São João de Deus, Porto;Rua 2 - Bairro de S. João de Deus  ;4350 - 146 porto;Porto;41.177433;-8.5719;1312067;
Escola Básica de São João de Lobrigos, Santa Marta de Penaguião;S. João de Lobrigos  ;5030 - 000 santa marta de penaguião;S. João de Lobrigos;41.194183;-7.778806;1711736;
Escola Básica de São João de Vêr, Santa Maria da Feira;Rua das Caniças  ;4520 - 609 são joão de ver;São João de Vêr;1.0;1.0;296958;
