nome;lat;lng;link
Câmara Municipal de Celorico de Basto;41.41509;-7.97802;http://portalnacional.com.pt/entidade/camara-municipal-de-celorico-de-basto-92/
Câmara Municipal de Chaves;41.82575;-7.47042;http://portalnacional.com.pt/entidade/camara-municipal-de-chaves-93/
Câmara Municipal de Cinfães;41.03634;-8.22326;http://portalnacional.com.pt/entidade/camara-municipal-de-cinfaes-94/
Câmara Municipal de Coimbra;40.20068;-8.42281;http://portalnacional.com.pt/entidade/camara-municipal-de-coimbra-95/
Câmara Municipal de Condeixa-A-Nova;40.05545;-8.44615;http://portalnacional.com.pt/entidade/camara-municipal-de-condeixa-a-nova-96/
Câmara Municipal de Constância;39.44548;-8.31135;http://portalnacional.com.pt/entidade/camara-municipal-de-constancia-97/
Câmara Municipal de Coruche;38.76854;-8.62596;http://portalnacional.com.pt/entidade/camara-municipal-de-coruche-98/
Câmara Municipal de Cuba;38.24690;-7.93661;http://portalnacional.com.pt/entidade/camara-municipal-de-cuba-99/
Câmara Municipal de Elvas;38.91482;-7.31974;http://portalnacional.com.pt/entidade/camara-municipal-de-elvas-100/
Câmara Municipal de Espinho;41.00391;-8.60082;http://portalnacional.com.pt/entidade/camara-municipal-de-espinho-101/
Câmara Municipal de Esposende;41.57303;-8.74721;http://portalnacional.com.pt/entidade/camara-municipal-de-esposende-102/
Câmara Municipal de Estarreja;40.74791;-8.61070;http://portalnacional.com.pt/entidade/camara-municipal-de-estarreja-103/
Câmara Municipal de Estremoz;38.95340;-7.50452;http://portalnacional.com.pt/entidade/camara-municipal-de-estremoz-104/
Câmara Municipal de Évora;38.41200;-7.83642;http://portalnacional.com.pt/entidade/camara-municipal-de-evora-105/
Câmara Municipal de Fafe;41.48309;-8.17669;http://portalnacional.com.pt/entidade/camara-municipal-de-fafe-106/
Câmara Municipal de Faro;37.03173;-7.96112;http://portalnacional.com.pt/entidade/camara-municipal-de-faro-107/
Câmara Municipal de Felgueiras;41.38117;-8.24557;http://portalnacional.com.pt/entidade/camara-municipal-de-felgueiras-108/
Câmara Municipal de Ferreira do Alentejo;38.09197;-8.04749;http://portalnacional.com.pt/entidade/camara-municipal-de-ferreira-do-alentejo-109/
Câmara Municipal de Ferreira do Zêzere;39.71551;-8.33128;http://portalnacional.com.pt/entidade/camara-municipal-de-ferreira-do-zezere-110/
Câmara Municipal de Figueira da Foz;40.19350;-8.82624;http://portalnacional.com.pt/entidade/camara-municipal-de-figueira-da-foz-111/
Câmara Municipal de Figueira de Castelo Rodrigo;40.82546;-6.95195;http://portalnacional.com.pt/entidade/camara-municipal-de-figueira-de-castelo-rodrigo-112/
Câmara Municipal de Figueiró dos Vinhos;39.90192;-8.27496;http://portalnacional.com.pt/entidade/camara-municipal-de-figueiro-dos-vinhos-113/
Câmara Municipal de Fornos de Algodres;40.60952;-7.48934;http://portalnacional.com.pt/entidade/camara-municipal-de-fornos-de-algodres-114/
Câmara Municipal de Freixo de Espada A Cinta;41.05732;-6.85845;http://portalnacional.com.pt/entidade/camara-municipal-de-freixo-de-espada-a-cinta-115/
Câmara Municipal de Fronteira;39.03190;-7.55863;http://portalnacional.com.pt/entidade/camara-municipal-de-fronteira-116/
Câmara Municipal de Gavião;39.38042;-7.90020;http://portalnacional.com.pt/entidade/camara-municipal-de-gaviao-117/
Câmara Municipal de Gois;40.18058;-8.14934;http://portalnacional.com.pt/entidade/camara-municipal-de-gois-118/
Câmara Municipal de Gondomar;41.144081;-8.536538;http://portalnacional.com.pt/entidade/camara-municipal-de-gondomar-119/
Câmara Municipal de Gouveia;40.49593;-7.62691;http://portalnacional.com.pt/entidade/camara-municipal-de-gouveia-120/
Câmara Municipal de Grândola;38.12308;-8.60238;http://portalnacional.com.pt/entidade/camara-municipal-de-grandola-121/
Câmara Municipal de Guimarães;41.49910;-8.29533;http://portalnacional.com.pt/entidade/camara-municipal-de-guimaraes-122/
Câmara Municipal de Horta;38.61667;-28.65000;http://portalnacional.com.pt/entidade/camara-municipal-de-horta-123/
Câmara Municipal de Idanha-A-Nova;39.84517;-7.07026;http://portalnacional.com.pt/entidade/camara-municipal-de-idanha-a-nova-124/
Câmara Municipal de Ílhavo;40.60348;-8.67115;http://portalnacional.com.pt/entidade/camara-municipal-de-ilhavo-125/
Câmara Municipal de Lagoa;37.71667;-25.48333;http://portalnacional.com.pt/entidade/camara-municipal-de-lagoa-126/
Câmara Municipal de Lagoa;37.13473;-8.45262;http://portalnacional.com.pt/entidade/camara-municipal-de-lagoa-127/
Câmara Municipal de Lagos;37.14874;-8.65973;http://portalnacional.com.pt/entidade/camara-municipal-de-lagos-128/
Câmara Municipal de Lajes das Flores;38.55000;-28.61667;http://portalnacional.com.pt/entidade/camara-municipal-de-lajes-das-flores-129/
Câmara Municipal de Lamego;41.07765;-7.82347;http://portalnacional.com.pt/entidade/camara-municipal-de-lamego-130/
Câmara Municipal de Leiria;39.69910;-8.80602;http://portalnacional.com.pt/entidade/camara-municipal-de-leiria-131/
Câmara Municipal de Lisboa;38.72392;-9.13627;http://portalnacional.com.pt/entidade/camara-municipal-de-lisboa-132/
Câmara Municipal de Loulé;37.19572;-8.03508;http://portalnacional.com.pt/entidade/camara-municipal-de-loule-133/
Câmara Municipal de Loures;38.88843;-9.20573;http://portalnacional.com.pt/entidade/camara-municipal-de-loures-134/
Câmara Municipal de Lousada;41.28263;-8.20740;http://portalnacional.com.pt/entidade/camara-municipal-de-lousada-135/
Câmara Municipal de Mação;39.54182;-8.03800;http://portalnacional.com.pt/entidade/camara-municipal-de-macao-136/
Câmara Municipal de Macedo de Cavaleiros;41.56502;-6.81813;http://portalnacional.com.pt/entidade/camara-municipal-de-macedo-de-cavaleiros-137/
Câmara Municipal de Machico;32.70000;-16.76667;http://portalnacional.com.pt/entidade/camara-municipal-de-machico-138/
Câmara Municipal de Madalena;38.43333;-28.45000;http://portalnacional.com.pt/entidade/camara-municipal-de-madalena-139/
Câmara Municipal de Mafra;38.99824;-9.32911;http://portalnacional.com.pt/entidade/camara-municipal-de-mafra-140/
Câmara Municipal de Mangualde;40.61851;-7.58600;http://portalnacional.com.pt/entidade/camara-municipal-de-mangualde-141/
Câmara Municipal de Manteigas;40.41407;-7.44125;http://portalnacional.com.pt/entidade/camara-municipal-de-manteigas-142/
