nome;morada;postal;localidade;lat;lng;codigo
Escola Básica de Fareja, Fafe;Cruzeiro  ;4820 - 400 fareja;Fareja;41.415375;-8.231121;307326
Escola Básica de Farinheiro, Santa Maria da Feira;Rua das Escolas  ;4520 - 322 fornos vfr;Farinheiro;40.918865;-8.534056;48108
Escola Básica de Favaios, Alijó;Favaios  ;5070 - 264 favaios;Favaios;41.270588;-7.503022;1701841
Escola Básica de Favões, Marco de Canaveses;Av. da Igreja, 55  ;4630 - 000 marco de canaveses;Marco de Canaveses;41.115128;-8.231015;1307092
Escola Básica de Feira Nova, Ferreiros, Amares;Rua Dr. Francisco Sá Carneiro  ;4720 - 000 amares;Ferreiros;41.626686;-8.368731;301233
Escola Básica de Feira Nova, Marco de Canaveses;Ariz  ;4625 - 049 ariz mcn;Feira Nova;41.115334;-8.21924;1307272
Escola Básica de Feira Nova, São Mamede Coronado, Trofa;R. da Escola  ;4745 - 468 são mamede coronado;S. Mamede Coronado;41.267006;-8.57573;1314154
Escola Básica de Feitos, Barcelos;Rua da Escola  ;4750 - 443 feitos;Lugar do Monte;41.57487;-8.686594;302509
Escola Básica de Feitosa, Ponte de Lima;Feitosa - Feitosa  ;4990 - 000 ponte de lima;Feitosa;41.747574;-8.589206;1607354
Escola Básica de Felgueiras, Amarante;Lugar de Felgueiras  ;4605 - 125 mancelos;Mancelos;41.26524;-8.1717005;1301873
Escola Básica de Fermedo, Arouca;Largo da Igreja  ;4540 - 363 fermedo;Fermedo;40.95392;-8.417373;104026
Escola Básica de Fermil, Celorico de Basto;Lugar de Fermil, Veade  ;4890 - 568 veade;Veade;41.42114;-7.985363;81321
Escola Básica de Fernão de Magalhães, Sabrosa;Bairro Maria de Fátima Sabrosa  ;5060 - 310 sabrosa;Sabrosa;41.268116;-7.5813336;1710091
Escola Básica de Ferral, Montalegre;Rua Central  ;5470 - 122 ferral;Ferral;41.69519;-8.001293;1706364
Escola Básica de Ferreira, Paços de Ferreira;Rua de Samonde  ;4590 - 769 ferreira pfr;Ferreira;41.260944;-8.357261;1309005
Escola Básica de Ferreirim, Sernancelhe;Rua da Escola, nº14  ;3640 - 000 sernancelhe;Ferreirim;40.946056;-7.491275;1818877
Escola Básica de Ferreirinha, Cabeceiras de Basto;Ferreirinha - Cavez  ;4860 - 161 cavez;Cavez;41.501736;-7.904853;304562
Escola Básica de Ferreiros, Cinfães;Ferreiros de Tendais  ;4690 - 290 fornelos cnf;Ferreiros;41.044075;-8.04312;1804712
Escola Básica de Ferreiros, Cristelo, Barcelos;Rua de Ferreiros (EM 553)  ;4755 - 180 cristelo bcl;Lugar de Estrada;41.466206;-8.713787;302263
Escola Básica de Ferreiró, Maia;R. Senhor da Agonia  ;4475 - 603 maia;Ferreiró;41.273647;-8.600562;1306728
Escola Básica de Ferronho, São Pedro de Avisoso, Maia;R. de Paredes  ;4475 - 716 maia;S Pedro de Avisoso;41.278282;-8.613962;1306287
Escola Básica de Fieiro, Aguçadoura, Póvoa de Varzim;Av. da Praia  ;4495 - 031 póvoa de varzim;Agucadoura;41.427418;-8.782067;1313816
Escola Básica de Fieiros do Mar, Sendim de Baixo, Viana do Castelo;Sendim de Baixo  ;4900 - 051 viana do castelo;Castelo do Neiva;41.627136;-8.815466;1609030
Escola Básica de Figueira, Penafiel;Figueira  ;4575 - 242 figueira pnf;Figueira;41.11459;-8.343312;1311859
Escola Básica de Figueiredo, Braga;Rua de São Miguel  ;4700 - 645 estrada;Estrada;41.5041;-8.436384;303376
Escola Básica de Figueiredo, Pedroso, Vila Nova de Gaia;R. de Figueiredo  ;4415 - 224 pedroso;Pedroso;41.082096;-8.561607;1317744
Escola Básica de Figueiró, Paços de Ferreira;Rua São João Baptista de Sousa  ;4590 - 246 figueiró;Figueiró;41.30984;-8.340792;1309001
Escola Básica de Fijós, Sobrado, Valongo;Rua de Fijós  ;4440 - 334 sobrado;Sobrado;41.213017;-8.464425;1315438
Escola Básica de Finzes, Trofa;Rua António Feliciano de Castilho  ;4785 - 287 trofa;Lugar de Finzes;41.339935;-8.565385;1314898
Escola Básica de Folgosa, Maia;R. Central  ;4425 - 321 maia;Igreja;41.25886;-8.546854;1306053
Escola Básica de Fonseca, Baião;Fonseca  ;4640 - 464 santa marinha do zêzere;Fonseca;41.153328;-7.94757;1302312
Escola Básica de Fontainhas, Póvoa de Varzim;Rua da Feira  ;4570 - 030 balazar pvz;Fontainhas;41.416496;-8.652936;1313123
Escola Básica de Fontaínhas, Modelos, Paços de Ferreira;Avenida Padre António Ferreira Pombo, 35  ;4590 - 451 modelos;Modelos;41.260895;-8.384188;1309917
Escola Básica de Fonte Arcada, Penafiel;Marmoiral  ;4560 - 112 fonte arcada pnf;Fonte Arcada;41.144012;-8.363597;13535
Escola Básica de Fonte Boa, Esposende;Rua da Cultura  ;4740 - 415 fonte boa;Fonte Boa;41.499695;-8.740434;306609
Escola Básica de Fonte Coberta, Cinfães;Rua 25 de Abril  ;4690 - 635 souselo;Fonte Coberta;41.064297;-8.237146;1804033
Escola Básica de Fonte Coberta, Landeiro, Barcelos;Rua de Fontãos  ;4775 - 096 fonte coberta;Landeiro;41.48846;-8.556421;302207
